数据性质,周期说明,计划编号,所属单位,培训名称,培训主题,面向角色,讲解角色,模拟计划日期,示例地点,模拟计划人数,演示评估方式,计划状态,备注
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-001,示例城轨,设备台账字段填写与核验,设备资料,示例设备登记角色,示例设备资料讲解岗,2026-09-10,示例培训教室A,12,字段练习与互查,模拟待确认,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-002,示例城轨,维修工单资料闭环,工单记录,示例工单登记角色,示例专业资料讲解岗,2026-09-12,示例线上资料室,15,案例记录完整性讨论,模拟拟安排,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-003,示例城轨,备件分类与领用依据登记,备件资料,示例仓储登记角色,示例备件资料讲解岗,2026-09-14,示例培训教室A,10,合成领用单字段练习,模拟拟安排,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-004,示例城轨,巡检记录质量检查,数据质量,示例巡检资料角色,示例质量资料讲解岗,2026-09-16,示例线上资料室,16,待审记录缺项识别,模拟待确认,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-005,示例城轨,乘客服务诉求分类,乘客服务,示例客服登记角色,示例服务资料讲解岗,2026-09-18,示例培训教室A,18,合成诉求分类练习,模拟拟安排,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-006,示例城轨,隐患台账填报与证据整理,台账管理,示例安全资料角色,示例安全资料讲解岗,2026-09-20,示例线上资料室,14,资料边界与复核讨论,模拟拟安排,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-007,示例城轨,供应商资料版本识别,资料归档,示例档案登记角色,示例归档资料讲解岗,2026-09-22,示例培训教室A,10,旧模板与新字段对照,模拟待确认,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-008,示例城轨,知识资料访问与保密基础,数据保护,示例知识维护角色,示例知识治理讲解岗,2026-09-24,示例线上资料室,20,虚构授权场景讨论,模拟拟安排,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-009,示例城轨,知识问答引用核对,知识使用,示例知识使用角色,示例知识服务讲解岗,2026-09-26,示例培训教室A,18,原文与引用对应练习,模拟拟安排,合成计划，不代表真实排课、培训完成或任职授权
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-TR-010,示例城轨,备份恢复记录与演示验证,数据运维,示例数据维护角色,示例数据资料讲解岗,2026-09-28,示例线上资料室,8,演示记录审阅,模拟待确认,合成计划，不代表真实排课、培训完成或任职授权
