数据性质,周期说明,诉求编号,所属单位,示例车站,示例来源,诉求主题,合成诉求摘要,模拟计划日期,演示办理状态,责任角色,复核角色,个人信息边界,备注
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-001,示例城轨,示例云台站,示例知识服务入口,文明乘车咨询,希望了解站内文明提示的查询位置,2026-09-10,模拟待分派,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-002,示例城轨,示例青禾站,示例知识服务入口,无障碍预约信息咨询,希望了解服务预约信息应从何处核实,2026-09-11,模拟处理中,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-003,示例城轨,示例映川站,示例知识服务入口,导向标识咨询,希望确认示例换乘方向标识的资料说明,2026-09-12,模拟待回访,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-004,示例城轨,示例星桥站,示例知识服务入口,票务规则咨询,希望查询公开票务说明的资料入口,2026-09-13,模拟归档态,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-005,示例城轨,示例栖湖站,示例知识服务入口,便民设施建议,建议补充便民设施位置资料,2026-09-14,模拟待分派,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-006,示例城轨,示例云台站,示例知识服务入口,失物招领流程咨询,希望了解示例失物登记与查询的信息流程,2026-09-15,模拟处理中,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-007,示例城轨,示例青禾站,示例知识服务入口,换乘路径咨询,希望查询示例线路之间的换乘资料,2026-09-16,模拟待回访,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-008,示例城轨,示例映川站,示例知识服务入口,站内卫生建议,建议完善环境服务问题的反馈分类,2026-09-17,模拟归档态,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-009,示例城轨,示例星桥站,示例知识服务入口,广播清晰度建议,建议补充广播信息意见的登记口径,2026-09-18,模拟待分派,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-010,示例城轨,示例栖湖站,示例知识服务入口,候乘秩序建议,建议明确秩序类意见的资料转办角色,2026-09-19,模拟处理中,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-011,示例城轨,示例云台站,示例知识服务入口,特殊乘客协助咨询,希望获取特殊乘客协助服务的信息入口,2026-09-20,模拟待回访,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-CS-012,示例城轨,示例青禾站,示例知识服务入口,知识文章纠错建议,发现示例知识文章标题与目录不一致,2026-09-21,模拟归档态,示例客服登记岗,示例服务复核岗,不采集个人联系方式,合成诉求，不对应真实乘客或真实客流事件
