数据性质,周期说明,设备编码,所属单位,示例线路,示例车站,系统分类,设备名称,专业分类,台账状态,责任角色,资料完整性,模拟计划核验日期,关联资料编号,备注
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-001,示例城轨,示例A线,示例云台站,自动售检票系统,自动检票机,票务设备,模拟待核验,示例票务设备管理岗,示例缺交接资料,2026-09-10,SYN-DOC-001,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-002,示例城轨,示例A线,示例青禾站,自动售检票系统,自动售票机,票务设备,模拟在用,示例票务设备管理岗,示例资料齐全,2026-09-11,SYN-DOC-002,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-003,示例城轨,示例A线,示例映川站,乘客信息系统,站厅信息显示屏,通信信息,模拟在用,示例通信资料管理岗,示例资料齐全,2026-09-12,SYN-DOC-003,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-004,示例城轨,示例A线,示例星桥站,电梯系统,无障碍电梯,机电设备,模拟在用,示例机电管理岗,示例资料齐全,2026-09-13,SYN-DOC-004,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-005,示例城轨,示例A线,示例栖湖站,自动扶梯系统,站厅自动扶梯,机电设备,模拟待核验,示例机电管理岗,示例缺交接资料,2026-09-14,SYN-DOC-005,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-006,示例城轨,示例B线,示例云台站,站台门系统,站台门控制柜,机电设备,模拟在用,示例站台门管理岗,示例资料齐全,2026-09-15,SYN-DOC-006,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-007,示例城轨,示例B线,示例青禾站,公共广播系统,广播控制终端,通信信息,模拟在用,示例通信资料管理岗,示例资料齐全,2026-09-16,SYN-DOC-007,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-008,示例城轨,示例B线,示例映川站,照明系统,应急照明配电箱,机电设备,模拟在用,示例照明资料管理岗,示例资料齐全,2026-09-17,SYN-DOC-008,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-009,示例城轨,示例B线,示例星桥站,变配电监测系统,配电状态监测终端,供电设备,模拟待核验,示例供电资料管理岗,示例缺交接资料,2026-09-18,SYN-DOC-009,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-010,示例城轨,示例B线,示例栖湖站,环境监测系统,站厅环境监测终端,环境设备,模拟在用,示例环境资料管理岗,示例资料齐全,2026-09-19,SYN-DOC-010,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-011,示例城轨,示例C线,示例云台站,给排水监测系统,集水井水位监测终端,机电设备,模拟在用,示例给排水资料管理岗,示例资料齐全,2026-09-20,SYN-DOC-011,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-012,示例城轨,示例C线,示例青禾站,通信网络系统,站内网络交换机,通信信息,模拟在用,示例通信资料管理岗,示例资料齐全,2026-09-21,SYN-DOC-012,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-013,示例城轨,示例C线,示例映川站,火灾报警信息系统,报警信息显示单元,安全信息,模拟待核验,示例安全资料管理岗,示例缺交接资料,2026-09-22,SYN-DOC-013,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-014,示例城轨,示例C线,示例星桥站,通风监测系统,通风状态监测终端,环境设备,模拟在用,示例环境资料管理岗,示例资料齐全,2026-09-23,SYN-DOC-014,仅用于字段、筛选和问答演示，不证明真实设备状态
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-EQ-015,示例城轨,示例C线,示例栖湖站,综合监控系统,综合监控工作站,综合监控,模拟在用,示例监控资料管理岗,示例资料齐全,2026-09-24,SYN-DOC-015,仅用于字段、筛选和问答演示，不证明真实设备状态
