数据性质,周期说明,工单编号,关联设备编码,所属单位,示例车站,问题分类,问题摘要,模拟计划日期,演示流程状态,责任角色,复核角色,证据附件状态,备件关联说明,备注
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-001,SYN-EQ-001,示例城轨,示例云台站,资料核验演示,设备名称与资料目录待统一,2026-09-12,模拟新建,示例票务设备管理岗,示例专业资料复核岗,模拟待补充,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-002,SYN-EQ-002,示例城轨,示例青禾站,资料核验演示,关联资料版本待确认,2026-09-13,模拟资料补充,示例票务设备管理岗,示例专业资料复核岗,模拟资料待复核,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-003,SYN-EQ-006,示例城轨,示例云台站,资料核验演示,设备资料编号待补齐,2026-09-14,模拟待复核,示例站台门管理岗,示例专业资料复核岗,模拟资料待复核,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-004,SYN-EQ-009,示例城轨,示例星桥站,资料核验演示,供电资料目录待复核,2026-09-15,模拟归档态,示例供电资料管理岗,示例供电复核岗,模拟待补充,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-005,SYN-EQ-012,示例城轨,示例青禾站,资料核验演示,网络资料接收记录待补充,2026-09-16,模拟新建,示例通信资料管理岗,示例通信复核岗,模拟资料待复核,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-006,SYN-EQ-004,示例城轨,示例星桥站,资料核验演示,设备位置描述待校对,2026-09-17,模拟资料补充,示例机电管理岗,示例专业资料复核岗,模拟资料待复核,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-007,SYN-EQ-005,示例城轨,示例栖湖站,资料核验演示,附件命名口径待统一,2026-09-18,模拟待复核,示例机电管理岗,示例专业资料复核岗,模拟待补充,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-008,SYN-EQ-010,示例城轨,示例栖湖站,资料核验演示,环境资料关联关系待确认,2026-09-19,模拟归档态,示例环境资料管理岗,示例专业资料复核岗,模拟资料待复核,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-009,SYN-EQ-011,示例城轨,示例云台站,资料核验演示,记录计量单位待核对,2026-09-20,模拟新建,示例给排水资料管理岗,示例专业资料复核岗,模拟资料待复核,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-010,SYN-EQ-013,示例城轨,示例映川站,资料核验演示,报警信息资料清单待补充,2026-09-21,模拟资料补充,示例安全资料管理岗,示例专业资料复核岗,模拟待补充,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-011,SYN-EQ-007,示例城轨,示例青禾站,资料核验演示,广播资料版本状态待标识,2026-09-22,模拟待复核,示例通信资料管理岗,示例通信复核岗,模拟资料待复核,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
合成示例,2026年9月模拟计划与演示周期，非真实已发生运营记录,SYN-WO-012,SYN-EQ-015,示例城轨,示例栖湖站,资料核验演示,工作站资料交接说明待完善,2026-09-23,模拟归档态,示例监控资料管理岗,示例专业资料复核岗,模拟资料待复核,不适用（资料演示）,仅展示工单记录流转，不代表真实维修作业
